,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DONE_labels
6,407442,864691135645051375,[234672 253728  18581],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,126.0,2551.0,92.0,2205.0,1
10,343716,864691135654019266,[201648 257392  18961],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,197.0,1747.0,154.0,1569.0,1
11,375867,864691136266410484,[220736 257136  19583],2022-06-09 14:30:32.002707,WM,excitatory,MC,113.0,1887.0,92.0,1549.0,1
13,407861,864691135323342236,[237488 256944  20989],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,362.0,3202.0,283.0,2844.0,1
16,275443,864691135926663380,[166992 261696  18437],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,489.0,2181.0,409.0,1950.0,1
25,471029,864691135517733002,[262864 251984  26171],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,56.0,1970.0,44.0,1778.0,1
29,136093,864691135815483779,[109520 264176  18869],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,106.0,1747.0,92.0,1483.0,1
33,677859,864691135385697109,[370112 246096  19499],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,140.0,1205.0,116.0,1083.0,1
35,375503,864691135855557934,[213456 254704  18090],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,238.0,2011.0,194.0,1785.0,1
38,626162,864691136274024461,[358800 251744  23717],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,211.0,2642.0,182.0,2366.0,1
41,678764,864691135396372001,[371056 251264  23197],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,853.0,1882.0,690.0,1548.0,1
44,437779,864691135715548954,[253632 250320  18245],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,61.0,1693.0,46.0,1530.0,1
53,276685,864691135776939616,[174784 263568  25425],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,123.0,1346.0,98.0,1181.0,1
54,276833,864691135564923415,[170128 261456  26280],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,421.0,1355.0,344.0,1166.0,1
59,438618,864691135687956676,[259632 255952  24097],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,98.0,1618.0,82.0,1409.0,1
60,407636,864691135323227292,[243984 253968  19137],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,328.0,1689.0,271.0,1496.0,1
62,536249,864691136041036630,[311120 249392  19721],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,97.0,1890.0,73.0,1686.0,1
68,679301,864691135762790077,[374752 249856  26461],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,178.0,1409.0,138.0,1234.0,1
77,500271,864691135502030261,[293056 238304  16410],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,121.0,2103.0,77.0,1865.0,1
80,596880,864691134947389436,[329232 252128  23776],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,9.0,308.0,7.0,283.0,1
86,503298,864691136371170440,[282656 254800  24774],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,167.0,1473.0,133.0,1269.0,1
101,726904,864691135865482373,[393136 250000  22331],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,55.0,556.0,40.0,507.0,1
136,438884,864691135426494645,[246448 252640  26102],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,56.0,1405.0,38.0,1202.0,1
152,275694,864691135815459407,[166384 263264  20072],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,343.0,1448.0,306.0,1309.0,1
174,276684,864691135974819183,[174672 266816  25045],2022-06-09 14:30:32.002707,WM,excitatory,5P-PT,375.0,2650.0,316.0,2288.0,1
